,country_id,country,year,ISO_code,economic_freedom,rank,quartile,government_consumption,transfers,gov_enterprises,top_marg_tax_rate,size_government,judicial_independence,impartial_courts,protection_property_rights,military_interference,integrity_legal_system,legal_enforcement_contracts,restrictions_sale_real_property,reliability_police,business_costs_crime,gender_adjustment,property_rights,money_growth,std_inflation,inflation,freedom_own_foreign_currency,sound_money,tariffs,regulatory_trade_barriers,black_market,control_movement_capital_ppl,trade,credit_market_reg,labor_market_reg,business_reg,regulation
47,82,Greece,2015,GRC,6.45,111.0,3.0,5.194117647,3.8560364810000003,4.0,2.5,3.8875385319999998,4.87567361,2.9686882000000003,5.100465783,8.333333332999999,7.5,4.125037966,8.044201311,6.213991642000001,6.6572962989999995,1.0,5.979854238,9.29755766,9.432885176000001,9.652819527,5.0,8.345815591000001,8.360586579,7.668826871,10.0,4.514682726,7.636024044,7.905,4.85299145,6.43609571,6.398029052999999
48,87,Guatemala,2015,GTM,7.69,22.0,1.0,8.567647059,9.878645922999999,10.0,9.5,9.486573245,3.8921353439999997,3.4001572660000003,5.54280065,6.666666667,5.0,3.389826813,8.330186722,2.886178891,2.297686775,0.9487179490000001,4.482661786,9.422506546000001,9.573758149,9.522255934,10.0,9.629630157000001,8.600088889,6.338129277999999,10.0,7.949160557000001,8.221844681,9.586333332999999,4.05529021,6.304723717000001,6.64878242
49,89,Guinea,2015,GIN,5.74,141.0,4.0,9.194117647,,6.0,4.0,6.398039216,1.7187369030000001,2.250727557,2.7079653180000003,0.833333333,4.166666667,5.386550715,6.374388033,3.394412048,4.3487105999999995,0.7179487179999999,2.9760112660000004,9.983002326,7.770724123,8.36962,5.0,7.780836612000001,7.4058,3.389766067,6.584022039,2.430524469,4.9525281439999995,10.0,4.791176846,5.0344135230000004,6.6085301229999995
50,88,Guinea-Bissau,2015,GNB,5.58,146.0,4.0,7.182352941,,0.0,8.5,5.22745098,,3.3,,3.333333333,4.166666667,3.480968692,7.228227082999999,,,0.794871795,3.8606248830000003,8.067517596,7.808698696,9.719078225,0.0,6.398823629,7.4534,5.621913234,10.0,1.158994874,6.058577027,8.503899046,3.462646795,7.03842483,6.334990222999999
51,90,Guyana,2015,GUY,6.52,105.0,3.0,6.617647058999999,,8.0,6.0,6.87254902,3.858248442,4.11958665,4.534600612,6.666666667,2.5,4.554788309,7.070485497000001,2.98569714,4.381482472,0.923076923,4.345251687,9.859327405,8.368376752,9.8086,5.0,8.259076039,6.4684,3.8383389560000003,10.0,5.344559395,6.412824587999999,6.333333333,7.88433426,5.973944889,6.730537494
52,91,Haiti,2015,HTI,6.54,104.0,3.0,8.752941176,9.916893733,4.0,8.0,7.6674587270000005,2.7520655019999998,2.436454485,2.6147594990000003,0.0,2.5,3.881900279,2.6990213389999997,3.3570617730000003,3.270367638,0.897435897,2.4784339859999998,8.444652431,9.407640542000001,8.196696237000001,5.0,7.762247303,8.3584,6.135182161,10.0,6.633879114,7.781865319,8.24,8.101145435,4.70326313,7.014802855
53,93,Honduras,2015,HND,7.35,50.0,2.0,7.138235293999999,10.0,10.0,9.0,9.034558824,3.9025592430000002,4.509699928,5.241755039,4.166666667,2.5,2.861203918,7.710562723,3.6545801460000003,2.816240922,0.923076923,3.991802199,9.234136196,8.828810779,9.368433764,10.0,9.357845185,8.408977777999999,5.3556275410000005,10.0,5.912875082,7.4193701,9.415333333,5.183167473999999,6.247832949,6.948777918999999
54,94,Hungary,2015,HUN,7.19,65.0,2.0,3.270588235,5.29140008,4.0,6.5,4.765497079,3.570654812,3.058389941,3.117309385,10.0,6.666666667,6.576328444,8.025707157000001,5.544871489,7.7858655610000005,1.0,6.038421495,8.262655762,9.718109707,9.985943505,10.0,9.491677243,8.360586579,7.319333723,10.0,5.955644098,7.908891099999999,9.725,7.18135995,6.26259925,7.7229864
55,95,Iceland,2015,ISL,7.25,59.0,2.0,2.3058823530000003,7.957880124,8.0,3.5,5.440940619,7.846820747000001,7.040047101,8.048759546,10.0,10.0,6.775094571,8.750492215,9.012345473,8.576845364,1.0,8.450045002000001,9.613030809,9.395090975,9.673743017,0.0,7.1704662,7.263999999999999,7.10995354,10.0,4.2193901,7.14833591,8.333333332999999,7.704275878,8.060434799,8.032681337
56,96,India,2015,IND,6.61,98.0,3.0,7.317647059,8.977771391000001,7.0,8.0,7.823854613,5.5144352539999995,5.857644216000001,4.902953005,6.666666667,7.5,2.5938544080000003,6.5844391579999995,6.226054033,5.601002391000001,0.783783784,5.09835622,9.77804308,8.796238408999999,8.825514681,5.0,8.099949042999999,6.2559111110000005,3.9158200389999998,10.0,2.0634457669999997,5.55879423,6.586,6.4615949079999995,6.339489213999999,6.462361373999999
57,97,Indonesia,2015,IDN,7.0,75.0,2.0,7.470588235,9.120230308,7.0,7.5,7.772704636,5.1219161269999995,4.893803499,5.59301049,4.166666667,4.166666667,1.9149788019999998,5.93207953,5.529411634,4.894431405,0.926829268,4.518732007,9.399968827,9.319185597999999,8.727375774,10.0,9.36163255,8.072311111,4.667601679,10.0,5.217813027,6.989431454,8.073666667000001,4.560802505,6.39502224,6.343163804
58,99,Iraq,2015,IRQ,,,,,,,,,,,,,,,,,,,,6.304900363,4.383300444,7.258840049,,,,,,,,,,,
59,100,Ireland,2015,IRL,8.25,5.0,1.0,3.823529412,7.013149827,10.0,4.5,6.33416981,8.985318448,6.328374219,8.649646971000001,10.0,10.0,3.931480739,8.582895926,8.513513406,6.992016662999999,1.0,7.998138486,8.966415517,9.232100002000001,9.941080196,10.0,9.534898929,8.360586579,8.234138709,10.0,8.457363652,8.763022235,9.142000000000001,8.132487257000001,8.578503721,8.617663659
60,102,Israel,2015,ISR,7.47,38.0,1.0,3.1882352939999996,6.733057856,10.0,5.0,6.230323287999999,8.520297029,5.723570607,7.300061197000001,4.166666667,8.333333332999999,3.462740316,5.740858493999999,6.798245907,6.595645262000001,0.9487179490000001,6.132119415,8.537725604,9.557762053,9.873375541,10.0,9.4922158,8.244666667,6.632352321,10.0,7.5723517529999995,8.112342685,9.571333333,5.383097931,7.198991962000001,7.384474409
